YEAR,WEEK,"BIRMINGHAM, AL","MOBILE, AL","MONTGOMERY, AL","PHOENIX, AZ","TUCSON, AZ","LITTLE ROCK, AR","BERKELEY, CA","FRESNO, CA","GLENDALE, CA","LONG BEACH, CA","LOS ANGELES, CA","OAKLAND, CA","PASADENA, CA","SACRAMENTO, CA","SAN DIEGO, CA","SAN FRANCISCO, CA","SAN JOSE, CA","SANTA CRUZ, CA","COLORADO SPRINGS, CO","DENVER, CO","PUEBLO, CO","BRIDGEPORT, CT","HARTFORD, CT","NEW HAVEN, CT","WATERBURY, CT","WILMINGTON, DE","WASHINGTON, DC","JACKSONVILLE, FL","MIAMI, FL","ST PETERSBURG, FL","TAMPA, FL","ATLANTA, GA","SAVANNAH, GA","HONOLULU, HI","BOISE, ID","CHICAGO, IL","PEORIA, IL","ROCKFORD, IL","EVANSVILLE, IN","FORT WAYNE, IN","GARY, IN","INDIANAPOLIS, IN","SOUTH BEND, IN","DES MOINES, IA","KANSAS CITY, KS","WICHITA, KS","LEXINGTON, KY","LOUISVILLE, KY","BATON ROUGE, LA","NEW ORLEANS, LA","SHREVEPORT, LA","BALTIMORE, MD","BOSTON, MA","CAMBRIDGE, MA","FALL RIVER, MA","LOWELL, MA","LYNN, MA","NEW BEDFORD, MA","SOMERVILLE, MA","SPRINGFIELD, MA","WORCESTER, MA","DETROIT, MI","GRAND RAPIDS, MI","DULUTH, MN","MINNEAPOLIS, MN","ST PAUL, MN","KANSAS CITY, MO","ST LOUIS, MO","LINCOLN, NE","OMAHA, NE","LAS VEGAS, NV","CAMDEN, NJ","ELIZABETH, NJ","JERSEY CITY, NJ","NEWARK, NJ","PATERSON, NJ","TRENTON, NJ","ALBUQUERQUE, NM","ALBANY, NY","BUFFALO, NY","ROCHESTER, NY","SCHENECTADY, NY","SYRACUSE, NY","UTICA, NY","YONKERS, NY","CHARLOTTE, NC","CANTON, OH","CINCINNATI, OH","CLEVELAND, OH","COLUMBUS, OH","DAYTON, OH","TOLEDO, OH","YOUNGSTOWN, OH","TULSA, OK","PORTLAND, OR","ALLENTOWN, PA","ERIE, PA","PHILADELPHIA, PA","PITTSBURGH, PA","READING, PA","SCRANTON, PA",PROVIDENCE,"CHATTANOOGA, TN","KNOXVILLE, TN","MEMPHIS, TN","NASHVILLE, TN","AUSTIN, TX","CORPUS CHRISTI, TX","DALLAS, TX","EL PASO, TX","FORT WORTH, TX","HOUSTON, TX","SAN ANTONIO, TX","OGDEN, UT","SALT LAKE CITY, UT","NORFOLK, VA","RICHMOND, VA","SEATTLE, WA","SPOKANE, WA","TACOMA, WA","MILWAUKEE, WI"
1965,1,3,3,4,10,2,9,-,1,-,-,23,1,-,2,5,3,4,-,2,6,-,3,-,2,-,4,14,-,-,11,6,9,3,1,5,46,-,4,2,4,3,7,2,6,2,4,-,14,1,4,6,11,13,-,2,2,3,2,1,4,5,17,5,-,5,2,5,13,1,2,-,3,1,8,6,5,5,3,2,6,18,-,-,8,7,8,4,3,4,1,4,6,1,3,3,2,1,12,12,4,2,4,8,1,4,8,3,2,6,4,3,9,2,3,2,6,7,3,3,1,3
1965,2,2,5,8,5,2,4,-,1,-,2,25,4,1,3,3,6,2,-,3,9,1,5,2,3,3,2,8,2,-,3,6,6,1,1,10,48,3,2,-,4,3,11,2,2,1,5,-,13,2,7,8,7,17,-,-,3,2,-,3,8,8,17,4,-,1,1,7,18,5,2,-,8,1,13,7,3,4,1,1,4,15,3,3,-,4,1,7,10,8,2,1,3,1,7,2,3,10,20,11,6,2,3,3,3,5,4,3,4,3,6,5,6,6,1,1,5,4,7,4,2,7
1965,3,1,2,3,4,-,6,-,2,-,2,24,-,-,1,5,8,2,-,1,5,-,13,-,-,-,1,10,2,-,1,11,3,1,-,3,42,1,6,-,2,2,5,1,2,2,5,-,7,1,12,4,4,13,1,1,1,4,2,-,6,6,22,6,-,4,-,1,13,1,-,-,6,3,3,7,8,7,6,-,4,9,-,3,4,4,3,9,6,4,-,3,2,-,6,4,3,3,23,7,6,1,3,3,1,6,2,13,2,4,2,4,11,4,2,1,2,1,2,-,2,1
1965,4,4,1,5,6,1,3,2,3,1,1,17,3,-,-,2,5,3,-,4,6,1,7,2,5,2,8,18,2,2,5,15,5,4,-,2,50,1,6,-,4,1,7,2,-,2,7,-,13,4,10,4,8,9,3,5,1,-,-,-,6,7,14,4,-,2,5,3,12,3,6,-,4,1,9,14,5,5,1,3,8,10,2,1,9,4,8,8,6,1,3,1,2,1,-,-,2,6,15,9,7,2,5,1,1,-,3,9,3,3,4,1,5,3,2,2,3,2,7,-,-,4
1965,5,-,2,3,4,1,2,2,-,-,1,33,2,-,2,1,6,6,-,3,5,-,10,-,3,1,3,16,1,2,9,9,13,3,-,3,34,-,2,2,4,4,5,3,3,2,7,-,8,1,10,4,10,21,-,2,7,2,1,1,13,7,15,3,-,3,1,6,6,1,6,-,3,5,4,11,4,4,2,2,8,13,1,2,5,1,4,5,4,-,1,3,4,1,1,2,3,-,21,6,4,-,7,3,1,3,3,6,-,6,3,9,7,2,1,-,2,2,4,3,-,1
1965,6,1,4,4,4,-,2,-,-,3,2,33,1,1,2,3,3,-,-,1,8,-,10,1,1,-,2,11,2,2,8,7,9,6,1,6,42,1,2,3,4,4,6,2,5,3,5,-,16,2,13,5,13,23,1,-,4,4,5,4,7,18,18,9,1,1,2,4,16,1,3,-,7,1,11,6,10,1,2,3,10,12,1,2,3,3,3,6,5,6,2,1,5,1,2,1,5,4,14,4,6,4,7,4,3,5,7,4,-,7,2,3,5,6,-,5,3,3,5,1,-,5
1965,7,-,4,3,4,1,10,-,2,1,-,34,5,-,1,8,2,5,-,5,12,-,5,-,4,1,6,9,4,-,5,12,10,5,3,-,45,-,3,3,6,4,7,9,2,4,12,-,14,2,9,5,8,21,-,2,3,1,5,3,13,14,22,9,1,5,-,3,10,3,3,-,3,3,12,12,2,2,3,1,4,12,4,5,3,2,5,9,4,5,3,3,4,1,2,1,5,4,25,16,12,3,3,8,-,4,4,5,5,5,3,3,9,3,-,1,7,3,5,5,2,6
1965,8,5,3,1,3,2,3,1,1,-,-,27,3,1,4,7,3,1,-,1,12,4,4,-,1,-,1,14,3,-,7,11,4,5,-,-,40,-,4,2,-,-,4,2,1,6,13,-,8,3,12,8,9,32,3,5,5,4,3,2,7,9,19,4,-,1,1,4,16,-,5,-,1,2,11,7,7,5,2,-,4,9,2,5,9,1,3,7,3,4,6,3,8,3,4,-,3,3,21,7,8,-,4,3,2,6,4,8,-,8,3,3,7,4,2,2,3,3,4,-,-,2
1965,9,1,4,4,4,3,3,-,2,-,-,37,2,-,2,4,4,7,-,1,8,1,6,2,2,3,-,13,2,2,10,12,3,5,1,2,50,2,1,3,1,3,9,4,6,6,6,-,13,4,6,7,14,6,-,4,3,1,1,-,3,13,32,3,-,2,2,8,18,6,-,-,3,1,12,7,5,1,2,1,4,18,1,-,5,-,1,4,8,6,8,5,2,2,6,7,4,1,21,22,3,1,5,7,-,9,6,5,2,7,5,8,7,11,2,-,1,3,4,-,1,4
1965,10,2,1,1,2,3,14,-,1,-,2,31,3,1,1,2,3,5,-,2,9,4,2,-,1,-,1,8,3,-,3,11,10,7,-,3,48,1,2,3,7,1,7,9,7,5,4,-,17,1,14,10,13,18,1,2,3,1,2,3,6,5,26,5,-,6,5,12,24,5,3,-,3,3,11,7,3,4,2,2,4,14,1,2,7,6,2,5,2,3,4,1,6,4,3,4,5,1,17,10,-,1,7,6,2,6,-,6,4,5,3,2,20,4,-,2,4,3,2,2,3,7
1965,11,1,-,3,9,4,10,-,2,1,-,23,2,-,2,2,5,7,-,-,1,1,7,1,1,2,3,11,8,-,5,9,10,10,2,6,43,-,3,3,6,5,8,6,4,3,7,-,20,-,16,10,11,5,-,1,3,1,1,1,6,6,20,5,-,2,8,5,13,2,1,-,1,1,9,6,3,5,2,-,8,8,-,5,7,6,3,2,9,3,2,1,9,-,6,4,2,3,31,1,4,2,2,3,1,7,7,10,-,9,3,2,9,3,2,3,11,6,4,1,1,5
1965,12,7,-,1,1,1,4,1,2,-,-,27,3,-,2,2,4,3,-,-,9,1,3,-,-,1,2,10,7,-,5,10,13,2,2,2,40,-,3,2,6,5,8,2,5,3,8,-,12,3,8,6,14,10,-,-,2,1,3,-,3,8,21,9,-,1,1,6,15,-,1,-,3,-,5,4,-,4,4,3,7,8,3,2,4,2,6,7,2,11,1,4,1,1,6,3,4,3,21,6,3,1,1,7,1,7,7,10,2,10,1,3,9,3,1,2,7,4,2,1,1,2
1965,13,2,4,3,3,4,5,-,-,-,1,24,1,1,2,5,5,3,-,3,7,-,4,-,3,2,3,4,-,8,7,10,12,4,-,4,38,2,2,2,2,4,4,3,4,5,9,-,14,1,12,10,8,8,-,1,2,1,5,-,3,7,25,7,2,1,3,6,12,1,5,-,-,-,3,9,1,1,9,2,4,8,1,4,5,3,1,4,8,3,7,1,5,1,6,1,1,3,17,9,2,2,3,17,1,8,6,6,1,3,3,2,9,2,2,4,6,8,4,-,1,3
1965,14,1,2,4,6,1,2,-,1,2,1,22,-,-,2,2,6,-,-,3,7,-,3,2,1,1,3,9,2,2,7,9,3,2,1,3,31,1,4,1,5,3,11,2,1,8,7,-,15,-,9,8,4,18,-,-,2,1,1,1,5,6,14,8,-,2,2,5,7,2,2,-,1,4,4,4,2,3,4,3,4,10,-,3,9,7,1,7,3,4,6,3,6,-,3,1,2,3,16,8,2,3,4,5,2,10,7,4,-,3,4,4,5,5,1,4,6,2,4,2,-,5
1965,15,2,3,1,4,-,4,-,-,-,2,22,2,-,4,1,5,1,-,2,6,-,1,1,-,2,2,9,4,4,9,12,6,-,4,2,22,-,2,3,5,4,2,4,2,5,7,-,6,2,6,6,8,5,-,1,1,-,1,-,2,5,23,2,-,1,2,2,8,-,2,-,5,1,5,4,3,2,4,1,3,4,1,1,4,2,3,1,5,3,6,1,6,-,3,5,4,3,23,3,3,1,3,3,2,5,3,11,2,4,2,7,4,3,1,2,4,3,6,2,1,3
1965,16,1,-,4,6,-,2,-,-,-,-,20,2,-,3,2,4,6,-,1,5,-,3,2,-,-,3,10,2,2,5,10,9,3,1,4,44,5,7,1,2,4,4,1,2,4,3,-,14,-,2,6,9,13,-,3,3,1,1,3,8,6,18,-,-,4,4,2,7,1,-,-,3,5,10,10,4,4,1,-,4,14,3,2,5,7,2,3,5,5,3,-,1,1,5,3,2,2,10,6,1,1,2,13,-,7,5,2,1,3,5,3,8,1,2,2,2,2,3,1,-,6
1965,17,3,-,2,5,4,6,-,1,-,-,21,1,1,3,6,8,3,-,-,4,2,7,-,2,-,3,8,1,2,2,6,11,5,3,3,33,1,4,-,1,3,2,-,1,5,4,-,6,-,3,6,8,6,-,-,1,1,1,-,2,3,20,9,-,2,3,5,8,2,3,-,3,4,3,10,1,1,3,2,5,11,2,3,6,-,3,4,3,3,2,-,4,1,7,2,1,4,10,4,1,2,10,2,1,6,3,4,1,3,3,2,1,3,1,3,4,1,6,-,1,3
1965,18,1,1,1,4,1,4,2,1,-,-,24,1,1,2,2,3,-,-,1,5,1,5,2,3,2,2,4,1,-,4,4,5,1,-,1,30,-,-,1,3,3,3,2,2,2,6,-,11,-,5,5,3,5,9,-,4,1,-,-,1,9,11,1,-,4,-,6,1,-,3,-,2,3,9,7,1,5,1,-,6,9,-,1,3,3,3,4,7,1,5,-,2,2,3,2,2,1,12,4,1,-,8,3,-,2,2,2,-,6,-,3,3,3,4,2,6,3,5,1,1,2
1965,19,1,-,4,2,-,3,-,-,-,-,21,1,-,2,-,5,-,-,1,3,1,2,1,3,-,2,8,2,-,3,3,7,1,1,4,28,1,3,2,4,2,3,4,1,5,3,-,8,-,1,10,9,9,-,-,1,1,2,1,3,5,26,3,-,3,1,5,4,-,1,-,3,3,6,3,2,5,-,-,3,6,-,4,3,2,3,2,4,8,2,-,2,-,-,2,1,3,11,3,5,4,2,2,3,8,4,1,3,2,1,2,7,3,-,-,4,1,3,2,-,3
1965,20,1,-,5,3,1,3,-,1,-,-,20,2,-,3,2,-,3,-,4,2,-,5,-,-,-,4,4,2,2,5,9,5,3,-,6,23,-,-,-,3,1,-,4,2,3,2,-,7,-,5,9,6,3,-,1,-,-,-,-,3,5,21,3,-,1,3,2,5,2,6,-,2,3,3,9,1,2,1,-,2,13,-,1,5,4,1,3,4,2,1,-,1,-,2,1,3,1,12,5,2,1,2,3,3,5,1,2,-,1,2,1,6,4,-,1,4,1,4,-,5,5
